admit,gre,gpa,ses,Gender_Male,Race,rank,0.001,
0,740,3.54,2,0,1,1,0,147
0,540,3.16,3,0,2,3,0,148
0,580,3.5,3,0,1,2,0,149
0,740,3.34,2,0,2,4,0,150
0,580,3.02,3,1,2,2,0,151
0,460,2.87,1,0,3,2,0,152
0,640,3.38,1,0,1,3,0,153
0,340,2.9,1,0,1,1,0,154
0,460,2.98,2,1,3,1,0,155
0,540,3.28,2,1,2,3,0,156
0,680,3.99,2,1,3,3,0,157
0,800,3.47,1,0,3,3,0,158
0,800,2.9,2,1,2,2,0,159
0,620,3.58,1,0,2,2,0,160
0,540,3.02,3,0,1,4,0,161
0,480,3.43,1,0,1,2,0,162
0,580,3.29,1,1,3,4,0,163
0,600,3.28,1,1,2,3,0,164
0,380,3.38,1,0,3,2,0,165
0,420,2.67,3,1,3,3,0,166
0,620,3.05,2,1,1,2,0,167
0,480,4,2,1,2,2,0,168
0,500,2.86,1,0,2,4,0,169
0,700,3.45,2,0,2,3,0,170
0,440,2.76,2,0,3,2,0,171
0,620,3.22,3,0,3,2,0,172
0,540,3.04,1,1,1,1,0,173
0,800,3.91,3,1,2,3,0,174
0,680,3.34,3,0,1,2,0,175
0,440,3.17,3,0,3,2,0,176
0,680,3.64,2,1,3,3,0,177
0,640,3.73,2,1,1,3,0,178
0,660,3.31,2,1,2,4,0,179
0,620,3.21,1,0,3,4,0,180
0,640,3.35,1,0,2,3,0,181
0,520,3.51,2,1,1,2,0,182
0,640,3.81,2,1,3,2,0,183
0,680,3.11,2,1,1,2,0,184
0,440,3.15,1,1,3,2,0,185
0,380,3.34,3,0,2,3,0,186
0,560,3.24,2,1,1,4,0,187
0,500,2.81,3,1,3,3,0,188
0,540,3.33,3,1,1,3,0,189
0,660,3.32,1,1,2,1,0,190
0,520,3.12,3,0,1,2,0,191
0,460,3.77,2,0,3,3,0,192
0,660,3.94,2,1,1,2,0,193
0,360,3.27,1,1,3,3,0,194
0,660,3.45,3,0,2,4,0,195
0,520,3.1,2,1,2,4,0,196
0,600,3.31,2,1,3,4,0,197
0,800,3.15,2,1,1,4,0,198
0,420,2.26,2,1,2,4,0,199
0,800,2.78,1,0,2,2,0,200
0,680,3.7,2,1,1,2,0,201
0,800,3.97,2,0,1,1,0,202
0,480,2.55,2,0,2,1,0,203
0,520,3.25,2,0,1,3,0,204
0,560,3.16,3,0,2,1,0,205
0,460,3.07,2,0,2,2,0,206
0,540,3.5,2,1,3,2,0,207
0,720,3.4,2,0,1,3,0,208
0,640,3.3,2,1,3,2,0,209
0,220,2.83,1,1,3,3,0,210
0,580,3.46,1,0,1,4,0,211
0,580,3.51,1,1,1,2,0,212
0,540,3.13,2,1,3,2,0,213
0,440,2.98,2,0,3,3,0,214
0,560,4,1,0,3,3,0,215
0,660,3.67,2,0,1,2,0,216
0,660,3.77,2,0,3,3,0,217
0,540,3.46,1,0,3,4,0,218
0,540,3.28,1,1,3,1,0,219
0,460,3.14,1,0,2,3,0,220
0,460,3.58,2,0,1,2,0,221
0,500,3.01,1,1,2,4,0,222
0,420,2.69,2,1,1,2,0,223
0,520,2.7,1,1,1,3,0,224
0,680,3.9,3,1,2,1,0,225
0,680,3.31,3,0,2,2,0,226
0,580,3.34,1,0,1,2,0,227
0,500,2.93,2,0,2,4,0,228
0,740,4,2,0,1,3,0,229
0,660,3.59,1,0,3,3,0,230
0,420,2.96,2,1,2,1,0,231
0,560,3.43,2,0,2,3,0,232
0,520,3.15,1,0,3,3,0,233
0,620,3.09,3,0,2,4,0,234
0,540,3.2,2,1,1,1,0,235
0,500,3.23,3,0,1,4,0,236
0,500,3.95,2,0,1,4,0,237
0,580,3.06,1,1,1,2,0,238
0,520,3.35,3,0,2,3,0,239
0,500,3.03,2,0,2,3,0,240
0,600,3.35,3,1,1,2,0,241
0,580,3.8,1,1,3,2,0,242
0,400,3.36,3,0,1,2,0,243
0,620,2.85,1,0,2,2,0,244
0,620,3.43,3,0,2,3,0,245
0,700,3.52,3,0,3,2,0,246
0,700,3.27,2,0,2,2,0,247
0,720,3.31,3,1,2,1,0,248
0,720,3.94,3,1,3,3,0,249
0,680,3.14,1,1,1,2,0,250
0,460,3.44,2,1,3,2,0,251
0,480,2.78,3,0,1,3,0,252
0,460,2.93,1,1,1,3,0,253
0,620,3.63,2,1,2,3,0,254
0,580,4,1,0,2,1,0,255
0,800,3.89,3,0,1,2,0,256
0,560,3.78,1,1,3,2,0,257
0,560,3.49,3,0,1,4,0,258
0,620,3.63,3,1,2,2,0,259
0,640,3.12,2,1,1,3,0,260
0,540,2.7,2,1,1,2,0,261
0,700,3.65,1,0,3,2,0,262
0,540,3.51,3,1,3,2,0,263
0,660,4,1,1,3,1,0,264
0,420,3.02,1,1,3,1,0,265
0,580,3.36,3,1,2,2,0,266
0,640,3.17,2,0,2,2,0,267
0,640,3.51,3,1,3,2,0,268
0,620,4,2,0,2,2,0,269
0,560,3.04,2,0,1,3,0,270
0,460,2.63,3,0,2,2,0,271
0,700,3.65,1,1,1,2,0,272
0,600,3.89,2,1,3,3,0,273
1,660,3.67,2,0,2,3,1,274
1,800,4,2,0,2,1,1,275
1,640,3.19,1,1,2,4,1,276
1,760,3,2,1,1,2,1,277
1,560,2.98,2,1,2,1,1,278
1,540,3.39,1,1,1,3,1,279
1,760,4,3,1,2,1,1,280
1,700,4,2,1,1,1,1,281
1,540,3.81,1,0,3,1,1,282
1,660,3.63,1,0,1,2,1,283
1,760,3.35,2,0,2,2,1,284
1,800,3.66,2,1,1,1,1,285
1,620,3.61,2,0,1,1,1,286
1,520,3.74,2,0,3,4,1,287
1,780,3.22,1,0,1,2,1,288
1,800,4,3,0,1,3,1,289
1,500,3.13,2,0,2,2,1,290
1,520,2.68,2,0,1,3,1,291
1,580,3.32,1,0,1,2,1,292
1,600,3.15,2,1,1,2,1,293
1,460,3.45,2,1,3,3,1,294
1,580,3.46,3,1,1,2,1,295
1,680,3.27,2,0,2,2,1,296
1,740,4,1,1,2,3,1,297
1,620,3.18,2,1,1,2,1,298
1,680,3.85,1,1,3,3,1,299
1,800,4,3,0,3,3,1,300
1,620,4,2,0,2,1,1,301
1,500,3.6,1,1,1,3,1,302
1,660,4,1,1,1,2,1,303
1,720,3.64,2,0,2,1,1,304
1,660,3.44,2,0,3,2,1,305
1,660,3.95,2,1,1,2,1,306
1,740,2.97,1,1,1,2,1,307
1,700,3.56,1,1,2,1,1,308
1,440,3.45,1,1,3,2,1,309
1,800,3.7,1,0,2,1,1,310
1,520,3.74,2,0,2,2,1,311
1,480,2.67,1,0,1,2,1,312
1,600,3.54,3,0,3,1,1,313
1,620,3.17,1,0,3,2,1,314
1,600,3.58,3,0,3,1,1,315
1,700,3.52,2,0,1,4,1,316
1,480,2.91,3,1,1,1,1,317
1,800,3.74,3,0,1,1,1,318
1,640,3.94,3,1,1,2,1,319
1,580,2.86,3,1,1,4,1,320
1,480,3.58,1,1,1,1,1,321
1,700,3.56,3,1,2,2,1,322
1,800,3.43,1,0,3,2,1,323
1,620,3.37,3,1,1,2,1,324
1,620,3.23,3,1,2,3,1,325
1,540,3.84,1,0,3,2,1,326
1,640,2.94,1,0,2,2,1,327
1,600,3.47,1,0,2,2,1,328
1,400,3.23,1,0,3,4,1,329
1,580,3.2,2,0,2,2,1,330
1,700,4,3,0,3,1,1,331
1,600,3.89,1,0,2,1,1,332
1,780,3.8,3,0,2,3,1,333
1,640,3.63,3,1,1,1,1,334
1,600,3.56,3,0,1,2,1,335
1,660,2.91,2,0,2,3,1,336
1,460,3.64,3,1,3,1,1,337
1,560,3.59,2,0,2,2,1,338
1,480,3.02,1,0,3,1,1,339
1,720,3.5,1,0,1,3,1,340
1,720,3.42,3,0,2,2,1,341
1,800,3.53,3,0,1,1,1,342
1,660,3.49,2,1,1,2,1,343
1,520,3.81,2,0,2,1,1,344
1,680,2.96,2,1,1,3,1,345
1,520,4,2,1,1,2,1,346
1,540,3.55,3,1,3,4,1,347
1,740,3.52,2,0,1,4,1,348
1,520,3.3,1,0,1,2,1,349
1,620,3.95,1,0,1,3,1,350
1,520,3.19,1,1,1,3,1,351
1,620,3.95,3,0,3,3,1,352
1,520,3.9,2,1,3,3,1,353
1,600,3.64,1,0,3,3,1,354
1,680,3.46,2,0,3,2,1,355
1,640,3.95,3,1,3,2,1,356
1,680,3.67,3,0,3,2,1,357
1,600,2.98,1,1,2,2,1,358
1,580,3.58,3,1,2,1,1,359
1,680,3,2,1,1,4,1,360
1,660,3.14,2,1,2,2,1,361
1,440,3.39,3,0,3,2,1,362
1,800,3.22,1,1,3,1,1,363
1,660,3.7,1,1,1,4,1,364
1,620,3.45,3,0,3,2,1,365
1,660,3.6,2,0,1,3,1,366
1,400,3.15,3,0,3,2,1,367
1,680,3.98,3,1,1,2,1,368
1,540,3.17,1,0,1,1,1,369
1,520,3.65,2,1,2,4,1,370
1,300,2.84,3,1,1,2,1,371
1,340,3,2,0,3,2,1,372
1,780,3.63,1,1,1,4,1,373
1,480,3.71,2,1,1,4,1,374
1,560,3.48,1,1,3,2,1,375
1,460,3.64,2,0,3,3,1,376
1,620,3.71,3,0,1,1,1,377
1,660,3.47,2,1,2,3,1,378
1,560,2.65,1,0,3,3,1,379
1,780,4,3,1,3,2,1,380
1,580,3.12,1,0,2,3,1,381
1,540,3.78,1,0,3,2,1,382
1,760,2.81,2,1,2,1,1,383
1,560,3.69,1,0,3,3,1,384
1,520,4,1,0,1,1,1,385
1,540,3.49,1,1,3,1,1,386
1,560,3.36,1,0,1,1,1,387
1,540,3.77,3,0,1,2,1,388
1,680,3.76,1,1,2,3,1,389
1,680,2.42,1,1,1,1,1,390
1,620,3.37,3,1,1,1,1,391
1,800,4,2,0,3,2,1,392
1,540,3.49,3,1,1,2,1,393
1,480,2.62,2,1,1,2,1,394
1,740,3.86,3,0,2,2,1,395
1,800,3.05,1,1,3,2,1,396
1,660,3.88,1,0,1,2,1,397
1,600,3.38,3,0,3,3,1,398
1,620,3.75,2,0,2,2,1,399
1,460,3.99,3,1,3,3,1,400
